round_id,round_date,course_name,sg_total,sg_drives,sg_long_approach,sg_short_approach,sg_putting,shots_counted
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,-29.5501,-7.7458,-6.4569,-7.902,-7.4454,97
22537517344,2026-04-15,Van Cortlandt Park Golf Course,-23.1229,-3.0294,-8.1738,-5.4692,-6.4505,91
22480357094,2026-04-10,Mosholu Golf Course,-16.8103,-1.4954,-1.7216,-3.7574,-9.8359,49
22349978898,2026-03-30,Mosholu Golf Course,-13.1532,-3.4567,-3.1253,-3.9834,-2.5878,43
22242515982,2026-03-20,Van Cortlandt Park Golf Course,-32.2905,-8.4027,-9.8112,-11.7159,-2.3607,104
22143457608,2026-03-11,Heron Glen Golf Course,-7.3453,-4.6796,-3.3505,0.6848,0.0,45
21886216728,2026-02-16,Mystic Dunes Golf Club,-4.4806,-0.1711,-7.5749,3.2654,0.0,25
21885334080,2026-02-16,Mystic Dunes Golf Club,-4.4806,-0.1711,-7.5749,3.2654,0.0,25
21601659489,2026-01-19,TPC of Myrtle Beach,-16.7688,-7.9566,-8.6742,-0.138,0.0,59
21591757643,2026-01-18,Caledonia Golf & Fish Club,-8.3099,-7.8994,-2.4471,2.0366,0.0,59
21579261480,2026-01-17,Pine Lakes International Country Club,-14.4659,-4.3608,-8.9575,-1.1476,0.0,54
21569440148,2026-01-16,True Blue Golf Club,-20.2351,-4.7515,-13.5263,-1.9573,0.0,68
21558905170,2026-01-15,TPC of Myrtle Beach,-27.1058,-9.3261,-17.8312,1.5899,-1.5384,75
